SampleID	Location	Material	Moisture	Tp	Treatment	Material_Moisture	Material_Location	Moisture_Loaction	Material_Moisture_Location_Timepoint	Material_Moisture_Location	Description	Gypsum	MDF	MF.Gypsum	Plywood	Wet	Timepoint	Location_1	Location_2	Control
loc1.Plywood.dry.TP2.DUP	loc1	Plywood	dry	2	DUP	Plywood_dry	Plywood_loc1	dry_loc1	Plywood_dry_loc1_2	Plywood_dry_loc1	loc1.Plywood.dry.TP2.DUP	0	0	0	1	0	2	1	0	0
loc1.Plywood.dry.TP2.RE	loc1	Plywood	dry	2	RE	Plywood_dry	Plywood_loc1	dry_loc1	Plywood_dry_loc1_2	Plywood_dry_loc1	loc1.Plywood.dry.TP2.RE	0	0	0	1	0	2	1	0	0
loc1.Plywood.dry.TP2.RE.DUP	loc1	Plywood	dry	2	RE.DUP	Plywood_dry	Plywood_loc1	dry_loc1	Plywood_dry_loc1_2	Plywood_dry_loc1	loc1.Plywood.dry.TP2.RE.DUP	0	0	0	1	0	2	1	0	0
loc1.Plywood.dry.TP3	loc1	Plywood	dry	3	REG	Plywood_dry	Plywood_loc1	dry_loc1	Plywood_dry_loc1_3	Plywood_dry_loc1	loc1.Plywood.dry.TP3	0	0	0	1	0	3	1	0	0
loc1.Plywood.dry.TP3.RE.DUP	loc1	Plywood	dry	3	RE.DUP	Plywood_dry	Plywood_loc1	dry_loc1	Plywood_dry_loc1_3	Plywood_dry_loc1	loc1.Plywood.dry.TP3.RE.DUP	0	0	0	1	0	3	1	0	0
loc1.Plywood.dry.TP4	loc1	Plywood	dry	4	REG	Plywood_dry	Plywood_loc1	dry_loc1	Plywood_dry_loc1_4	Plywood_dry_loc1	loc1.Plywood.dry.TP4	0	0	0	1	0	4	1	0	0
loc1.Plywood.wet.TP0	loc1	Plywood	wet	0	REG	Plywood_wet	Plywood_loc1	wet_loc1	Plywood_wet_loc1_0	Plywood_wet_loc1	loc1.Plywood.wet.TP0	0	0	0	1	1	0	1	0	0
loc1.Plywood.wet.TP0.DUP	loc1	Plywood	wet	0	DUP	Plywood_wet	Plywood_loc1	wet_loc1	Plywood_wet_loc1_0	Plywood_wet_loc1	loc1.Plywood.wet.TP0.DUP	0	0	0	1	1	0	1	0	0
loc1.Plywood.wet.TP1	loc1	Plywood	wet	1	REG	Plywood_wet	Plywood_loc1	wet_loc1	Plywood_wet_loc1_1	Plywood_wet_loc1	loc1.Plywood.wet.TP1	0	0	0	1	1	1	1	0	0
loc1.Plywood.wet.TP3.RE	loc1	Plywood	wet	3	RE	Plywood_wet	Plywood_loc1	wet_loc1	Plywood_wet_loc1_3	Plywood_wet_loc1	loc1.Plywood.wet.TP3.RE	0	0	0	1	1	3	1	0	0
loc1.Plywood.wet.TP4.RE	loc1	Plywood	wet	4	RE	Plywood_wet	Plywood_loc1	wet_loc1	Plywood_wet_loc1_4	Plywood_wet_loc1	loc1.Plywood.wet.TP4.RE	0	0	0	1	1	4	1	0	0
loc1.Plywood.wet.TP5.RE	loc1	Plywood	wet	5	RE	Plywood_wet	Plywood_loc1	wet_loc1	Plywood_wet_loc1_5	Plywood_wet_loc1	loc1.Plywood.wet.TP5.RE	0	0	0	1	1	5	1	0	0
loc1.Plywood.wet.TP5.RE.DUP	loc1	Plywood	wet	5	RE.DUP	Plywood_wet	Plywood_loc1	wet_loc1	Plywood_wet_loc1_5	Plywood_wet_loc1	loc1.Plywood.wet.TP5.RE.DUP	0	0	0	1	1	5	1	0	0
loc1.Plywood.wet.TP6.RE	loc1	Plywood	wet	6	RE	Plywood_wet	Plywood_loc1	wet_loc1	Plywood_wet_loc1_6	Plywood_wet_loc1	loc1.Plywood.wet.TP6.RE	0	0	0	1	1	6	1	0	0
loc1.Plywood.wet.TP6.RE.DUP	loc1	Plywood	wet	6	RE.DUP	Plywood_wet	Plywood_loc1	wet_loc1	Plywood_wet_loc1_6	Plywood_wet_loc1	loc1.Plywood.wet.TP6.RE.DUP	0	0	0	1	1	6	1	0	0
loc2.Gypsum.dry.TP0	loc2	Gypsum	dry	0	REG	Gypsum_dry	Gypsum_loc2	dry_loc2	Gypsum_dry_loc2_0	Gypsum_dry_loc2	loc2.Gypsum.dry.TP0	1	0	0	0	0	0	0	1	0
loc2.Gypsum.dry.TP0.DUP	loc2	Gypsum	dry	0	DUP	Gypsum_dry	Gypsum_loc2	dry_loc2	Gypsum_dry_loc2_0	Gypsum_dry_loc2	loc2.Gypsum.dry.TP0.DUP	1	0	0	0	0	0	0	1	0
loc2.Gypsum.dry.TP1	loc2	Gypsum	dry	1	REG	Gypsum_dry	Gypsum_loc2	dry_loc2	Gypsum_dry_loc2_1	Gypsum_dry_loc2	loc2.Gypsum.dry.TP1	1	0	0	0	0	1	0	1	0
loc2.Gypsum.dry.TP1.RE	loc2	Gypsum	dry	1	RE	Gypsum_dry	Gypsum_loc2	dry_loc2	Gypsum_dry_loc2_1	Gypsum_dry_loc2	loc2.Gypsum.dry.TP1.RE	1	0	0	0	0	1	0	1	0
loc2.Gypsum.dry.TP1.RE.DUP	loc2	Gypsum	dry	1	RE.DUP	Gypsum_dry	Gypsum_loc2	dry_loc2	Gypsum_dry_loc2_1	Gypsum_dry_loc2	loc2.Gypsum.dry.TP1.RE.DUP	1	0	0	0	0	1	0	1	0
loc2.Gypsum.dry.TP2	loc2	Gypsum	dry	2	REG	Gypsum_dry	Gypsum_loc2	dry_loc2	Gypsum_dry_loc2_2	Gypsum_dry_loc2	loc2.Gypsum.dry.TP2	1	0	0	0	0	2	0	1	0
loc2.Gypsum.dry.TP2.DUP	loc2	Gypsum	dry	2	DUP	Gypsum_dry	Gypsum_loc2	dry_loc2	Gypsum_dry_loc2_2	Gypsum_dry_loc2	loc2.Gypsum.dry.TP2.DUP	1	0	0	0	0	2	0	1	0
loc2.Gypsum.dry.TP2.RE.DUP	loc2	Gypsum	dry	2	RE.DUP	Gypsum_dry	Gypsum_loc2	dry_loc2	Gypsum_dry_loc2_2	Gypsum_dry_loc2	loc2.Gypsum.dry.TP2.RE.DUP	1	0	0	0	0	2	0	1	0
loc2.Gypsum.wet.TP0	loc2	Gypsum	wet	0	REG	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_0	Gypsum_wet_loc2	loc2.Gypsum.wet.TP0	1	0	0	0	1	0	0	1	0
loc2.Gypsum.wet.TP0.DUP	loc2	Gypsum	wet	0	DUP	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_0	Gypsum_wet_loc2	loc2.Gypsum.wet.TP0.DUP	1	0	0	0	1	0	0	1	0
loc2.Gypsum.wet.TP1	loc2	Gypsum	wet	1	REG	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_1	Gypsum_wet_loc2	loc2.Gypsum.wet.TP1	1	0	0	0	1	1	0	1	0
loc2.Gypsum.wet.TP1.RE	loc2	Gypsum	wet	1	RE	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_1	Gypsum_wet_loc2	loc2.Gypsum.wet.TP1.RE	1	0	0	0	1	1	0	1	0
loc2.Gypsum.wet.TP1.RE.DUP	loc2	Gypsum	wet	1	RE.DUP	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_1	Gypsum_wet_loc2	loc2.Gypsum.wet.TP1.RE.DUP	1	0	0	0	1	1	0	1	0
loc2.Gypsum.wet.TP2	loc2	Gypsum	wet	2	REG	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_2	Gypsum_wet_loc2	loc2.Gypsum.wet.TP2	1	0	0	0	1	2	0	1	0
loc2.Gypsum.wet.TP2.DUP	loc2	Gypsum	wet	2	DUP	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_2	Gypsum_wet_loc2	loc2.Gypsum.wet.TP2.DUP	1	0	0	0	1	2	0	1	0
loc2.Gypsum.wet.TP2.RE	loc2	Gypsum	wet	2	RE	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_2	Gypsum_wet_loc2	loc2.Gypsum.wet.TP2.RE	1	0	0	0	1	2	0	1	0
loc2.Gypsum.wet.TP2.RE.DUP	loc2	Gypsum	wet	2	RE.DUP	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_2	Gypsum_wet_loc2	loc2.Gypsum.wet.TP2.RE.DUP	1	0	0	0	1	2	0	1	0
loc2.Gypsum.wet.TP3	loc2	Gypsum	wet	3	REG	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_3	Gypsum_wet_loc2	loc2.Gypsum.wet.TP3	1	0	0	0	1	3	0	1	0
loc2.Gypsum.wet.TP3.RE	loc2	Gypsum	wet	3	RE	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_3	Gypsum_wet_loc2	loc2.Gypsum.wet.TP3.RE	1	0	0	0	1	3	0	1	0
loc2.Gypsum.wet.TP3.RE.DUP	loc2	Gypsum	wet	3	RE.DUP	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_3	Gypsum_wet_loc2	loc2.Gypsum.wet.TP3.RE.DUP	1	0	0	0	1	3	0	1	0
loc2.Gypsum.wet.TP4	loc2	Gypsum	wet	4	REG	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_4	Gypsum_wet_loc2	loc2.Gypsum.wet.TP4	1	0	0	0	1	4	0	1	0
loc2.Gypsum.wet.TP4.DUP	loc2	Gypsum	wet	4	DUP	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_4	Gypsum_wet_loc2	loc2.Gypsum.wet.TP4.DUP	1	0	0	0	1	4	0	1	0
loc2.Gypsum.wet.TP4.RE	loc2	Gypsum	wet	4	RE	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_4	Gypsum_wet_loc2	loc2.Gypsum.wet.TP4.RE	1	0	0	0	1	4	0	1	0
loc2.Gypsum.wet.TP4.RE.DUP	loc2	Gypsum	wet	4	RE.DUP	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_4	Gypsum_wet_loc2	loc2.Gypsum.wet.TP4.RE.DUP	1	0	0	0	1	4	0	1	0
loc2.Gypsum.wet.TP5	loc2	Gypsum	wet	5	REG	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_5	Gypsum_wet_loc2	loc2.Gypsum.wet.TP5	1	0	0	0	1	5	0	1	0
loc2.Gypsum.wet.TP5.RE	loc2	Gypsum	wet	5	RE	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_5	Gypsum_wet_loc2	loc2.Gypsum.wet.TP5.RE	1	0	0	0	1	5	0	1	0
loc2.Gypsum.wet.TP5.RE.DUP	loc2	Gypsum	wet	5	RE.DUP	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_5	Gypsum_wet_loc2	loc2.Gypsum.wet.TP5.RE.DUP	1	0	0	0	1	5	0	1	0
loc2.Gypsum.wet.TP6	loc2	Gypsum	wet	6	REG	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_6	Gypsum_wet_loc2	loc2.Gypsum.wet.TP6	1	0	0	0	1	6	0	1	0
loc2.Gypsum.wet.TP6.DUP	loc2	Gypsum	wet	6	DUP	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_6	Gypsum_wet_loc2	loc2.Gypsum.wet.TP6.DUP	1	0	0	0	1	6	0	1	0
loc2.Gypsum.wet.TP6.RE	loc2	Gypsum	wet	6	RE	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_6	Gypsum_wet_loc2	loc2.Gypsum.wet.TP6.RE	1	0	0	0	1	6	0	1	0
loc2.Gypsum.wet.TP6.RE.DUP	loc2	Gypsum	wet	6	RE.DUP	Gypsum_wet	Gypsum_loc2	wet_loc2	Gypsum_wet_loc2_6	Gypsum_wet_loc2	loc2.Gypsum.wet.TP6.RE.DUP	1	0	0	0	1	6	0	1	0
loc2.MDF.dry.TP0.DUP	loc2	MDF	dry	0	DUP	MDF_dry	MDF_loc2	dry_loc2	MDF_dry_loc2_0	MDF_dry_loc2	loc2.MDF.dry.TP0.DUP	0	1	0	0	0	0	0	1	0
loc2.MDF.dry.TP1	loc2	MDF	dry	1	REG	MDF_dry	MDF_loc2	dry_loc2	MDF_dry_loc2_1	MDF_dry_loc2	loc2.MDF.dry.TP1	0	1	0	0	0	1	0	1	0
loc2.MDF.dry.TP1.RE	loc2	MDF	dry	1	RE	MDF_dry	MDF_loc2	dry_loc2	MDF_dry_loc2_1	MDF_dry_loc2	loc2.MDF.dry.TP1.RE	0	1	0	0	0	1	0	1	0
loc2.MDF.dry.TP1.RE.DUP	loc2	MDF	dry	1	RE.DUP	MDF_dry	MDF_loc2	dry_loc2	MDF_dry_loc2_1	MDF_dry_loc2	loc2.MDF.dry.TP1.RE.DUP	0	1	0	0	0	1	0	1	0
loc2.MDF.dry.TP2	loc2	MDF	dry	2	REG	MDF_dry	MDF_loc2	dry_loc2	MDF_dry_loc2_2	MDF_dry_loc2	loc2.MDF.dry.TP2	0	1	0	0	0	2	0	1	0
loc2.MDF.dry.TP2.DUP	loc2	MDF	dry	2	DUP	MDF_dry	MDF_loc2	dry_loc2	MDF_dry_loc2_2	MDF_dry_loc2	loc2.MDF.dry.TP2.DUP	0	1	0	0	0	2	0	1	0
loc2.MDF.dry.TP2.RE	loc2	MDF	dry	2	RE	MDF_dry	MDF_loc2	dry_loc2	MDF_dry_loc2_2	MDF_dry_loc2	loc2.MDF.dry.TP2.RE	0	1	0	0	0	2	0	1	0
loc2.MDF.dry.TP2.RE.DUP	loc2	MDF	dry	2	RE.DUP	MDF_dry	MDF_loc2	dry_loc2	MDF_dry_loc2_2	MDF_dry_loc2	loc2.MDF.dry.TP2.RE.DUP	0	1	0	0	0	2	0	1	0
loc2.MDF.dry.TP3	loc2	MDF	dry	3	REG	MDF_dry	MDF_loc2	dry_loc2	MDF_dry_loc2_3	MDF_dry_loc2	loc2.MDF.dry.TP3	0	1	0	0	0	3	0	1	0
loc2.MDF.dry.TP3.RE	loc2	MDF	dry	3	RE	MDF_dry	MDF_loc2	dry_loc2	MDF_dry_loc2_3	MDF_dry_loc2	loc2.MDF.dry.TP3.RE	0	1	0	0	0	3	0	1	0
loc2.MDF.dry.TP3.RE.DUP	loc2	MDF	dry	3	RE.DUP	MDF_dry	MDF_loc2	dry_loc2	MDF_dry_loc2_3	MDF_dry_loc2	loc2.MDF.dry.TP3.RE.DUP	0	1	0	0	0	3	0	1	0
loc2.MF.Gypsum.dry.TP0	loc2	MF.Gypsum	dry	0	REG	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_0	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP0	0	0	1	0	0	0	0	1	0
loc2.MF.Gypsum.dry.TP0.DUP	loc2	MF.Gypsum	dry	0	DUP	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_0	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP0.DUP	0	0	1	0	0	0	0	1	0
loc2.MF.Gypsum.dry.TP1	loc2	MF.Gypsum	dry	1	REG	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_1	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP1	0	0	1	0	0	1	0	1	0
loc2.MF.Gypsum.dry.TP1.RE	loc2	MF.Gypsum	dry	1	RE	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_1	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP1.RE	0	0	1	0	0	1	0	1	0
loc2.MF.Gypsum.dry.TP1.RE.DUP	loc2	MF.Gypsum	dry	1	RE.DUP	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_1	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP1.RE.DUP	0	0	1	0	0	1	0	1	0
loc2.MF.Gypsum.dry.TP2	loc2	MF.Gypsum	dry	2	REG	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_2	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP2	0	0	1	0	0	2	0	1	0
loc2.MF.Gypsum.dry.TP2.DUP	loc2	MF.Gypsum	dry	2	DUP	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_2	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP2.DUP	0	0	1	0	0	2	0	1	0
loc2.MF.Gypsum.dry.TP2.RE	loc2	MF.Gypsum	dry	2	RE	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_2	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP2.RE	0	0	1	0	0	2	0	1	0
loc2.MF.Gypsum.dry.TP2.RE.DUP	loc2	MF.Gypsum	dry	2	RE.DUP	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_2	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP2.RE.DUP	0	0	1	0	0	2	0	1	0
loc2.MF.Gypsum.dry.TP3	loc2	MF.Gypsum	dry	3	REG	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_3	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP3	0	0	1	0	0	3	0	1	0
loc2.MF.Gypsum.dry.TP3.RE	loc2	MF.Gypsum	dry	3	RE	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_3	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP3.RE	0	0	1	0	0	3	0	1	0
loc2.MF.Gypsum.dry.TP3.RE.DUP	loc2	MF.Gypsum	dry	3	RE.DUP	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_3	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP3.RE.DUP	0	0	1	0	0	3	0	1	0
loc2.MF.Gypsum.dry.TP4	loc2	MF.Gypsum	dry	4	REG	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_4	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP4	0	0	1	0	0	4	0	1	0
loc2.MF.Gypsum.dry.TP4.RE	loc2	MF.Gypsum	dry	4	RE	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_4	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP4.RE	0	0	1	0	0	4	0	1	0
loc2.MF.Gypsum.dry.TP4.RE.DUP	loc2	MF.Gypsum	dry	4	RE.DUP	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_4	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP4.RE.DUP	0	0	1	0	0	4	0	1	0
loc2.MF.Gypsum.dry.TP5	loc2	MF.Gypsum	dry	5	REG	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_5	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP5	0	0	1	0	0	5	0	1	0
loc2.MF.Gypsum.dry.TP5.RE	loc2	MF.Gypsum	dry	5	RE	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_5	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP5.RE	0	0	1	0	0	5	0	1	0
loc2.MF.Gypsum.dry.TP5.RE.DUP	loc2	MF.Gypsum	dry	5	RE.DUP	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_5	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP5.RE.DUP	0	0	1	0	0	5	0	1	0
loc2.MF.Gypsum.dry.TP6	loc2	MF.Gypsum	dry	6	REG	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_6	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP6	0	0	1	0	0	6	0	1	0
loc2.MF.Gypsum.dry.TP6.DUP	loc2	MF.Gypsum	dry	6	DUP	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_6	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP6.DUP	0	0	1	0	0	6	0	1	0
loc2.MF.Gypsum.dry.TP6.RE	loc2	MF.Gypsum	dry	6	RE	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_6	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP6.RE	0	0	1	0	0	6	0	1	0
loc2.MF.Gypsum.dry.TP6.RE.DUP	loc2	MF.Gypsum	dry	6	RE.DUP	MF.Gypsum_dry	MF.Gypsum_loc2	dry_loc2	MF.Gypsum_dry_loc2_6	MF.Gypsum_dry_loc2	loc2.MF.Gypsum.dry.TP6.RE.DUP	0	0	1	0	0	6	0	1	0
loc2.MF.Gypsum.wet.TP0	loc2	MF.Gypsum	wet	0	REG	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_0	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP0	0	0	1	0	1	0	0	1	0
loc2.MF.Gypsum.wet.TP0.DUP	loc2	MF.Gypsum	wet	0	DUP	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_0	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP0.DUP	0	0	1	0	1	0	0	1	0
loc2.MF.Gypsum.wet.TP1	loc2	MF.Gypsum	wet	1	REG	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_1	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP1	0	0	1	0	1	1	0	1	0
loc2.MF.Gypsum.wet.TP1.RE	loc2	MF.Gypsum	wet	1	RE	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_1	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP1.RE	0	0	1	0	1	1	0	1	0
loc2.MF.Gypsum.wet.TP1.RE.DUP	loc2	MF.Gypsum	wet	1	RE.DUP	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_1	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP1.RE.DUP	0	0	1	0	1	1	0	1	0
loc2.MF.Gypsum.wet.TP2	loc2	MF.Gypsum	wet	2	REG	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_2	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP2	0	0	1	0	1	2	0	1	0
loc2.MF.Gypsum.wet.TP2.DUP	loc2	MF.Gypsum	wet	2	DUP	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_2	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP2.DUP	0	0	1	0	1	2	0	1	0
loc2.MF.Gypsum.wet.TP2.RE	loc2	MF.Gypsum	wet	2	RE	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_2	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP2.RE	0	0	1	0	1	2	0	1	0
loc2.MF.Gypsum.wet.TP2.RE.DUP	loc2	MF.Gypsum	wet	2	RE.DUP	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_2	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP2.RE.DUP	0	0	1	0	1	2	0	1	0
loc2.MF.Gypsum.wet.TP3.RE	loc2	MF.Gypsum	wet	3	RE	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_3	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP3.RE	0	0	1	0	1	3	0	1	0
loc2.MF.Gypsum.wet.TP3.RE.DUP	loc2	MF.Gypsum	wet	3	RE.DUP	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_3	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP3.RE.DUP	0	0	1	0	1	3	0	1	0
loc2.MF.Gypsum.wet.TP4	loc2	MF.Gypsum	wet	4	REG	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_4	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP4	0	0	1	0	1	4	0	1	0
loc2.MF.Gypsum.wet.TP4.DUP	loc2	MF.Gypsum	wet	4	DUP	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_4	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP4.DUP	0	0	1	0	1	4	0	1	0
loc2.MF.Gypsum.wet.TP4.RE	loc2	MF.Gypsum	wet	4	RE	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_4	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP4.RE	0	0	1	0	1	4	0	1	0
loc2.MF.Gypsum.wet.TP4.RE.DUP	loc2	MF.Gypsum	wet	4	RE.DUP	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_4	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP4.RE.DUP	0	0	1	0	1	4	0	1	0
loc2.MF.Gypsum.wet.TP5	loc2	MF.Gypsum	wet	5	REG	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_5	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP5	0	0	1	0	1	5	0	1	0
loc2.MF.Gypsum.wet.TP5.RE	loc2	MF.Gypsum	wet	5	RE	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_5	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP5.RE	0	0	1	0	1	5	0	1	0
loc2.MF.Gypsum.wet.TP5.RE.DUP	loc2	MF.Gypsum	wet	5	RE.DUP	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_5	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP5.RE.DUP	0	0	1	0	1	5	0	1	0
loc2.MF.Gypsum.wet.TP6	loc2	MF.Gypsum	wet	6	REG	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_6	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP6	0	0	1	0	1	6	0	1	0
loc2.MF.Gypsum.wet.TP6.DUP	loc2	MF.Gypsum	wet	6	DUP	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_6	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP6.DUP	0	0	1	0	1	6	0	1	0
loc2.MF.Gypsum.wet.TP6.RE	loc2	MF.Gypsum	wet	6	RE	MF.Gypsum_wet	MF.Gypsum_loc2	wet_loc2	MF.Gypsum_wet_loc2_6	MF.Gypsum_wet_loc2	loc2.MF.Gypsum.wet.TP6.RE	0	0	1	0	1	6	0	1	0
